[INFO] step: 3600/16586, total_loss: 1.202258, ctc_loss: 1.052483, rmse_loss: 0.029955, cer: 0.58, elapsed: 2.09s 111.89m 1.86h, lr: 0.000100
[INFO] step: 3700/16586, total_loss: 1.673613, ctc_loss: 1.517852, rmse_loss: 0.031152, cer: 0.57, elapsed: 1.96s 114.98m 1.92h, lr: 0.000100
[INFO] step: 3800/16586, total_loss: 1.253795, ctc_loss: 1.099701, rmse_loss: 0.030819, cer: 0.57, elapsed: 1.30s 118.05m 1.97h, lr: 0.000100
[INFO] step: 3900/16586, total_loss: 1.503491, ctc_loss: 1.350584, rmse_loss: 0.030581, cer: 0.57, elapsed: 2.04s 121.24m 2.02h, lr: 0.000100
[INFO] step: 4000/16586, total_loss: 1.186001, ctc_loss: 1.033868, rmse_loss: 0.030427, cer: 0.56, elapsed: 1.91s 124.45m 2.07h, lr: 0.000100
[INFO] step: 4100/16586, total_loss: 1.238837, ctc_loss: 1.088833, rmse_loss: 0.030001, cer: 0.56, elapsed: 1.72s 127.57m 2.13h, lr: 0.000100
[INFO] step: 4200/16586, total_loss: 1.510274, ctc_loss: 1.353695, rmse_loss: 0.031316, cer: 0.55, elapsed: 1.42s 130.43m 2.17h, lr: 0.000100
[INFO] step: 4300/16586, total_loss: 1.351509, ctc_loss: 1.208618, rmse_loss: 0.028578, cer: 0.55, elapsed: 1.57s 133.56m 2.23h, lr: 0.000100
[INFO] step: 4400/16586, total_loss: 1.473566, ctc_loss: 1.318265, rmse_loss: 0.031060, cer: 0.55, elapsed: 1.55s 136.79m 2.28h, lr: 0.000100
[INFO] step: 4500/16586, total_loss: 1.499562, ctc_loss: 1.350873, rmse_loss: 0.029738, cer: 0.55, elapsed: 1.66s 139.95m 2.33h, lr: 0.000100
[INFO] step: 4600/16586, total_loss: 1.310415, ctc_loss: 1.163557, rmse_loss: 0.029372, cer: 0.54, elapsed: 1.72s 142.71m 2.38h, lr: 0.000100
[INFO] step: 4700/16586, total_loss: 1.357015, ctc_loss: 1.203768, rmse_loss: 0.030650, cer: 0.54, elapsed: 1.56s 145.07m 2.42h, lr: 0.000100
[INFO] step: 4800/16586, total_loss: 1.425015, ctc_loss: 1.277543, rmse_loss: 0.029494, cer: 0.54, elapsed: 1.55s 147.47m 2.46h, lr: 0.000100
[INFO] step: 4900/16586, total_loss: 1.441369, ctc_loss: 1.297582, rmse_loss: 0.028757, cer: 0.54, elapsed: 1.09s 149.90m 2.50h, lr: 0.000100
[INFO] step: 5000/16586, total_loss: 1.173986, ctc_loss: 1.032367, rmse_loss: 0.028324, cer: 0.53, elapsed: 1.78s 152.30m 2.54h, lr: 0.000100
[INFO] step: 5100/16586, total_loss: 1.224027, ctc_loss: 1.082828, rmse_loss: 0.028240, cer: 0.53, elapsed: 1.44s 154.73m 2.58h, lr: 0.000100
[INFO] step: 5200/16586, total_loss: 1.302493, ctc_loss: 1.166913, rmse_loss: 0.027116, cer: 0.53, elapsed: 1.95s 157.16m 2.62h, lr: 0.000100
[INFO] step: 5300/16586, total_loss: 1.485354, ctc_loss: 1.342750, rmse_loss: 0.028521, cer: 0.53, elapsed: 1.70s 159.57m 2.66h, lr: 0.000100
[INFO] step: 5400/16586, total_loss: 1.387950, ctc_loss: 1.245375, rmse_loss: 0.028515, cer: 0.53, elapsed: 1.00s 161.96m 2.70h, lr: 0.000100
[INFO] step: 5500/16586, total_loss: 1.217798, ctc_loss: 1.081611, rmse_loss: 0.027237, cer: 0.52, elapsed: 1.56s 164.42m 2.74h, lr: 0.000100
[INFO] step: 5600/16586, total_loss: 1.273704, ctc_loss: 1.129809, rmse_loss: 0.028779, cer: 0.52, elapsed: 1.41s 166.82m 2.78h, lr: 0.000100
[INFO] step: 5700/16586, total_loss: 1.074917, ctc_loss: 0.936215, rmse_loss: 0.027740, cer: 0.52, elapsed: 1.34s 169.25m 2.82h, lr: 0.000100
[INFO] step: 5800/16586, total_loss: 1.185183, ctc_loss: 1.041687, rmse_loss: 0.028699, cer: 0.52, elapsed: 1.57s 171.65m 2.86h, lr: 0.000100
[INFO] step: 5900/16586, total_loss: 1.229147, ctc_loss: 1.084438, rmse_loss: 0.028942, cer: 0.52, elapsed: 1.11s 174.11m 2.90h, lr: 0.000100
[INFO] step: 6000/16586, total_loss: 1.149221, ctc_loss: 1.012400, rmse_loss: 0.027364, cer: 0.51, elapsed: 1.59s 176.56m 2.94h, lr: 0.000100
[INFO] step: 6100/16586, total_loss: 1.208494, ctc_loss: 1.067515, rmse_loss: 0.028196, cer: 0.51, elapsed: 1.08s 179.09m 2.98h, lr: 0.000100
[INFO] step: 6200/16586, total_loss: 1.287421, ctc_loss: 1.147932, rmse_loss: 0.027898, cer: 0.51, elapsed: 1.09s 181.54m 3.03h, lr: 0.000100
[INFO] step: 6300/16586, total_loss: 1.336380, ctc_loss: 1.199625, rmse_loss: 0.027351, cer: 0.51, elapsed: 1.19s 183.95m 3.07h, lr: 0.000100
[INFO] step: 6400/16586, total_loss: 1.060781, ctc_loss: 0.919231, rmse_loss: 0.028310, cer: 0.51, elapsed: 1.18s 186.35m 3.11h, lr: 0.000100
[INFO] step: 6500/16586, total_loss: 1.309584, ctc_loss: 1.170333, rmse_loss: 0.027850, cer: 0.50, elapsed: 1.01s 188.76m 3.15h, lr: 0.000100
[INFO] step: 6600/16586, total_loss: 1.084797, ctc_loss: 0.949280, rmse_loss: 0.027104, cer: 0.50, elapsed: 1.31s 191.14m 3.19h, lr: 0.000100
[INFO] step: 6700/16586, total_loss: 1.180604, ctc_loss: 1.042862, rmse_loss: 0.027548, cer: 0.50, elapsed: 1.06s 193.54m 3.23h, lr: 0.000100
[INFO] step: 6800/16586, total_loss: 1.261923, ctc_loss: 1.134706, rmse_loss: 0.025443, cer: 0.50, elapsed: 1.95s 195.97m 3.27h, lr: 0.000100
[INFO] step: 6900/16586, total_loss: 1.116148, ctc_loss: 0.985719, rmse_loss: 0.026086, cer: 0.50, elapsed: 1.07s 198.39m 3.31h, lr: 0.000100
[INFO] step: 7000/16586, total_loss: 1.097399, ctc_loss: 0.969914, rmse_loss: 0.025497, cer: 0.50, elapsed: 1.49s 200.80m 3.35h, lr: 0.000100
[INFO] step: 7100/16586, total_loss: 1.326541, ctc_loss: 1.198323, rmse_loss: 0.025644, cer: 0.50, elapsed: 1.48s 203.18m 3.39h, lr: 0.000100
[INFO] step: 7200/16586, total_loss: 1.231964, ctc_loss: 1.105305, rmse_loss: 0.025332, cer: 0.50, elapsed: 1.89s 205.51m 3.43h, lr: 0.000100
