params : {'iterations': 700, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 130.86
params : {'iterations': 1000, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.38, 0.37], train_time : 395.21
params : {'iterations': 10, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.46, 0.47], train_time : 17.82
params : {'iterations': 1000, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 549.65
params : {'iterations': 500, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.35, 0.49], train_time : 28.77
params : {'iterations': 10, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.49, 0.49], train_time : 9.33
params : {'iterations': 300, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 41.44
params : {'iterations': 200, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.37, 0.5], train_time : 10.84
params : {'iterations': 1000, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.38], train_time : 62.03
params : {'iterations': 1000, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.38], train_time : 53.13
params : {'iterations': 10, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.49, 0.49], train_time : 9.20
params : {'iterations': 500, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 24.73
