params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.33], train_time : 11.57
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.3, 0.31], train_time : 5.91
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.32], train_time : 9.33
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 15.35
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.33, 0.32], train_time : 4.11
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.33], train_time : 11.39
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.33, 0.32], train_time : 7.28
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.29, 0.29], train_time : 1130.59
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 207.08
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.31], train_time : 38.90
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 23.25
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.28, 0.28], train_time : 118.88
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 0.80
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.33, 0.32], train_time : 9.49
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.29], train_time : 1566.28
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.32], train_time : 179.24
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 1.77
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.32], train_time : 189.09
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.31], train_time : 231.31
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 12.02
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 0.75
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 1.73
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.29, 0.32], train_time : 3.05
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.31], train_time : 1081.08
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.32], train_time : 1.44
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.32], train_time : 1.37
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.3, 0.29], train_time : 38.36
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.31], train_time : 27.24
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.3, 0.29], train_time : 38.74
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 300, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 750.78
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.33], train_time : 36.30
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 50, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.3], train_time : 188.03
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.32, 0.33], train_time : 33.68
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 10, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.29, 0.31], train_time : 24.87
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 1, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.63 , best_threshold : [0.31, 0.32], train_time : 3.68
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 10, 'num_parallel_tree': 100, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.3, 0.31], train_time : 662.06
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 6, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 10, 'datatype': 'one_hot_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.32, 0.32], train_time : 12.39
params : {'colsample_bynode': 0.8, 'learning_rate': 1, 'max_depth': 8, 'num_parallel_tree': 50, 'objective': 'binary:logistic', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'num_boost_round': 30, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.64 , best_threshold : [0.31, 0.31], train_time : 111.53
